№,Время последней сделки,Название,Тикер,"Цена, посл","Изм, %","Объем, млн руб","1 нед, %","1 м, %","ytd, %","ytd, %",Капит-я млрд руб,Капит-я млрд $,ИзмОбъема
181,15:54:11,Варьеган,VJGZ,1327,+1.45%,0.24,-0.4%,-9.6%,-29.4%,-29.4%,27.58,0.49,+60%
182,18:26:22,Нижкамшина,NKSH,23.64,-3.11%,0.24,+2.6%,+6.2%,+0.2%,+0.2%,1.51,0.03,-66%
183,18:24:04,ОМЗ-ап,OMZZP,4055,-0.98%,0.23,+1.1%,-6.5%,-15.8%,-15.8%,11.15,0.20,+212%
184,18:33:57,РБК ао,RBCM,2.736,+0.51%,0.20,+1.4%,+1.3%,-26.6%,-26.6%,1.00,0.02,+49%
185,18:35:49,ТГК-14,TGKN,0.00261,-0.76%,0.20,-0.8%,-5.8%,+0.8%,+0.8%,3.54,0.06,+27%
186,18:38:18,ЗВЕЗДА ао,ZVEZ,3.595,+0.28%,0.19,-1.1%,-13.8%,-9.6%,-9.6%,2.02,0.04,+83%
187,17:52:32,Мегион-ао,MFGS,294.5,+2.61%,0.19,+1.9%,-0.5%,-7.0%,-7.0%,36.11,0.64,+126%
188,18:07:14,Славн-ЯНОС,JNOS,14.05,+1.08%,0.18,+1.1%,+0.4%,-31.8%,-31.8%,16.24,0.29,+1000%
189,18:36:56,БСП ап,BSPBP,13.5,+3.45%,0.17,+4.7%,-2.9%,-28.4%,-28.4%,33.08,0.58,+24%
190,18:33:01,РГС СК ао,RGSS,0.129,+0.78%,0.17,-0.9%,-2.6%,-29.1%,-29.1%,63.15,1.11,+0%
